Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6551782;11677943;11520814;1;KU;20;N;;0;ei henkilövahinkoa;;;
6551782;11677944;11520815;2;KU;24;M;;0;ei henkilövahinkoa;;;
6580617;11677952;11520824;1;KU;78;M;;0;ei henkilövahinkoa;;;
6580617;11677953;11520825;2;MA;59;M;;0;ei henkilövahinkoa;;;
6580617;11677953;11520826;2;KU;55;M;;L;loukkaantunut;;;
6571962;11677972;11521122;1;KU;18;M;X;0;ei henkilövahinkoa;;;
6571962;11677973;11521123;2;KU;;;;0;ei henkilövahinkoa;;;
6673527;11677994;11521146;1;KU;44;M;;0;ei henkilövahinkoa;;;
6673527;11677995;11521147;2;KU;;;;0;ei henkilövahinkoa;;;
6565101;11678000;11521152;1;MA;9;N;;0;ei henkilövahinkoa;;;
6565101;11678000;11521153;1;MA;7;N;;0;ei henkilövahinkoa;;;
6565101;11678000;11521154;1;KU;40;N;;0;ei henkilövahinkoa;;;
6565101;11678001;11521155;2;KU;58;M;;L;loukkaantunut;;;
6490335;11678803;11521180;1;KU;49;N;;0;ei henkilövahinkoa;;;
6490335;11678804;11521181;2;KU;77;M;;0;ei henkilövahinkoa;;;
6500849;11678860;11521523;1;KU;42;N;;0;ei henkilövahinkoa;;;
6500849;11678861;11521524;2;KU;45;M;O;0;ei henkilövahinkoa;;;
6478411;11678867;11521530;1;KU;56;N;;0;ei henkilövahinkoa;;;
6478411;11678868;11521531;2;KU;49;M;;0;ei henkilövahinkoa;;;
6588145;11681107;11521927;1;KU;44;M;;0;ei henkilövahinkoa;;;
6588145;11681108;11521928;2;MA;22;N;;0;ei henkilövahinkoa;;;
6588145;11681108;11521929;2;KU;23;M;O;0;ei henkilövahinkoa;;;
6479249;11681347;11521953;1;KU;62;N;;0;ei henkilövahinkoa;;;
6479249;11681348;11521954;2;KU;51;N;;0;ei henkilövahinkoa;;;
6617815;11681362;11521976;1;KU;24;M;;0;ei henkilövahinkoa;;;
6617815;11681363;11521977;2;KU;18;M;;0;ei henkilövahinkoa;;;
6595203;11681370;11521985;1;MA;24;M;;0;ei henkilövahinkoa;;;
6595203;11681370;11521986;1;MA;24;M;;0;ei henkilövahinkoa;;;
6595203;11681370;11521987;1;MA;22;N;;0;ei henkilövahinkoa;;;
6595203;11681370;11521988;1;KU;24;M;;0;ei henkilövahinkoa;;;
6595203;11681371;11521989;2;MA;20;M;;0;ei henkilövahinkoa;;;
6595203;11681371;11521990;2;MA;20;M;;0;ei henkilövahinkoa;;;
6595203;11681371;11521991;2;KU;18;M;;0;ei henkilövahinkoa;;;
6500852;11681392;11522283;1;KU;19;N;;L;loukkaantunut;;;
6500852;11681393;11522284;2;KU;42;M;;0;ei henkilövahinkoa;;;
6536868;11681401;11522292;1;KU;61;M;;0;ei henkilövahinkoa;;;
6536868;11681402;11522293;2;KU;61;M;;0;ei henkilövahinkoa;;;
6510421;11681405;11522296;1;KU;16;M;O;0;ei henkilövahinkoa;;;
6510421;11681405;11522297;1;MA;;M;;0;ei henkilövahinkoa;;;
6510421;11681405;11522298;1;MA;;M;;0;ei henkilövahinkoa;;;
6510421;11681406;11522299;2;KU;;M;;0;ei henkilövahinkoa;;;
6481497;11681411;11522309;1;MA;38;M;;L;loukkaantunut;;;
6481497;11681411;11522310;1;KU;38;M;;L;loukkaantunut;;;
6490458;11681414;11522313;1;KU;44;M;;0;ei henkilövahinkoa;;;
6490331;11681665;11522333;1;KU;74;M;;0;ei henkilövahinkoa;;;
6490331;11681666;11522334;2;KU;79;M;;0;ei henkilövahinkoa;;;
6502372;11681684;11522353;1;KU;67;M;;0;ei henkilövahinkoa;;;
6502372;11681685;11522354;2;KU;17;M;;0;ei henkilövahinkoa;;;
6595284;11681718;11516517;1;KU;41;N;;0;ei henkilövahinkoa;;;
6595284;11681718;11516518;1;MA;;M;;0;ei henkilövahinkoa;;;
6527888;11681944;11516536;1;MA;25;M;;0;ei henkilövahinkoa;;;
6527888;11681944;11516537;1;KU;20;N;;0;ei henkilövahinkoa;;;
6527888;11681945;11516538;2;KU;45;M;;0;ei henkilövahinkoa;;;
6527888;11681946;11516539;3;KU;20;M;;0;ei henkilövahinkoa;;;
6536871;11681955;11516558;1;KU;21;M;;0;ei henkilövahinkoa;;;
6536871;11681956;11516559;2;KU;59;N;;0;ei henkilövahinkoa;;;
6490338;11681968;11516571;1;KU;50;N;;0;ei henkilövahinkoa;;;
6513644;11681971;11516574;1;KU;38;M;;0;ei henkilövahinkoa;;;
6513644;11681972;11516575;2;KU;29;M;;0;ei henkilövahinkoa;;;
6521354;11681973;11516576;1;MA;53;M;;0;ei henkilövahinkoa;;;
6521354;11681973;11516577;1;KU;40;M;;0;ei henkilövahinkoa;;;
6645472;11681978;11516846;1;KU;53;M;;0;ei henkilövahinkoa;;;
6645472;11681979;11516847;2;KU;45;M;;0;ei henkilövahinkoa;;;
6677962;11682214;11516889;1;KU;;M;X;0;ei henkilövahinkoa;;;
6793083;11682269;11517221;1;KU;74;N;;0;ei henkilövahinkoa;;;
6732319;11682514;11517248;1;KU;38;N;;0;ei henkilövahinkoa;;;
6732319;11682515;11517249;2;KU;16;M;;0;ei henkilövahinkoa;;;
6565015;11682524;11517260;1;KU;24;M;;0;ei henkilövahinkoa;;;
6698128;11682538;11517278;1;KU;39;M;;0;ei henkilövahinkoa;;;
6698128;11682539;11517279;2;KU;75;M;;0;ei henkilövahinkoa;;;
6751017;11682542;11517283;1;KU;45;M;;0;ei henkilövahinkoa;;;
6751018;11682549;11517561;1;KU;15;M;;L;loukkaantunut;;;
6751018;11682550;11517562;2;KU;35;M;;0;ei henkilövahinkoa;;;
6763902;11682829;11517933;1;KU;48;M;;0;ei henkilövahinkoa;;;
6837172;11682844;11517951;1;KU;30;M;;0;ei henkilövahinkoa;;;
6825371;11683106;11518015;1;KU;20;M;;0;ei henkilövahinkoa;;;
6825371;11683107;11518283;2;KU;20;M;;0;ei henkilövahinkoa;;;
6825371;11683108;11518284;3;KU;;M;;0;ei henkilövahinkoa;;;
6825371;11683108;11518285;3;MA;;M;;0;ei henkilövahinkoa;;;
6748473;11683112;11518289;1;KU;;M;;0;ei henkilövahinkoa;;;
6748473;11683112;11518290;1;MA;;M;;0;ei henkilövahinkoa;;;
6796739;11683116;11518294;1;KU;64;M;;0;ei henkilövahinkoa;;;
6906237;11683327;11518331;1;KU;44;M;;0;ei henkilövahinkoa;;;
6906237;11683328;11518332;2;KU;24;M;;0;ei henkilövahinkoa;;;
6875756;11683333;11518337;1;KU;24;M;;0;ei henkilövahinkoa;;;
6875756;11683334;11518338;2;KU;28;M;;0;ei henkilövahinkoa;;;
6777118;11683364;11518370;1;KU;;N;;0;ei henkilövahinkoa;;;
6777118;11683364;11518371;1;MA;;N;;0;ei henkilövahinkoa;;;
6849916;11683375;11518650;1;KU;24;N;;L;loukkaantunut;;;
6825515;11683376;11518651;1;KU;;M;;0;ei henkilövahinkoa;;;
6799804;11683379;11518654;1;KU;;M;;0;ei henkilövahinkoa;;;
6825391;11683588;11518681;1;KU;56;M;;K;kuollut;;;
6825391;11683589;11518682;2;KU;27;M;;L;loukkaantunut;;;
6777105;11683594;11518687;1;KU;77;M;;K;kuollut;;;
6777105;11683595;11518688;2;KU;48;M;;0;ei henkilövahinkoa;;;
6881882;11683597;11518690;1;MA;43;N;;0;ei henkilövahinkoa;;;
6881882;11683597;11518691;1;KU;43;M;;0;ei henkilövahinkoa;;;
6881882;11683598;11518692;2;KU;63;M;;0;ei henkilövahinkoa;;;
6854905;11683603;11518698;1;KU;19;N;X;0;ei henkilövahinkoa;;;
6917844;11683615;11518714;1;KU;54;M;;0;ei henkilövahinkoa;;;
6914444;11683826;11519025;1;KU;55;M;;0;ei henkilövahinkoa;;;
6914444;11683827;11519026;2;KU;28;N;;0;ei henkilövahinkoa;;;
6914444;11683827;11519027;2;MA;;M;;0;ei henkilövahinkoa;;;
6914444;11683827;11519028;2;MA;;M;;0;ei henkilövahinkoa;;;
6914444;11683827;11519029;2;MA;;M;;0;ei henkilövahinkoa;;;
6914444;11683827;11519030;2;MA;;M;;0;ei henkilövahinkoa;;;
6914444;11683827;11519031;2;MA;;N;;0;ei henkilövahinkoa;;;
6916112;11683828;11519032;1;KU;63;M;;L;loukkaantunut;;;
6886329;11683851;11519064;1;KU;51;N;;0;ei henkilövahinkoa;;;
6886329;11683852;11519065;2;KU;41;M;;0;ei henkilövahinkoa;;;
6896667;11683876;11519093;1;KU;36;M;;0;ei henkilövahinkoa;;;
6896667;11683876;11519094;1;MA;;M;;0;ei henkilövahinkoa;;;
6893249;11683880;11519363;1;KU;18;N;X;0;ei henkilövahinkoa;;;
6875670;11683887;11519374;1;KU;37;M;;0;ei henkilövahinkoa;;;
6875670;11683888;11519375;2;KU;25;N;;0;ei henkilövahinkoa;;;
6849951;11684100;11519383;1;KU;;M;;0;ei henkilövahinkoa;;;
6849951;11684100;11519384;1;MA;;M;;0;ei henkilövahinkoa;;;
6901398;11684104;11519388;1;KU;24;N;;0;ei henkilövahinkoa;;;
6901398;11684105;11519389;2;KU;40;M;;0;ei henkilövahinkoa;;;
6864870;11684125;11519429;1;KU;51;N;;0;ei henkilövahinkoa;;;
6864870;11684126;11519430;2;KU;25;M;;0;ei henkilövahinkoa;;;
6896677;11684174;11519756;1;MA;39;N;;0;ei henkilövahinkoa;;;
6896677;11684174;11519757;1;KU;47;M;;0;ei henkilövahinkoa;;;
6896677;11684174;11519758;1;MA;10;M;;0;ei henkilövahinkoa;;;
6896677;11684174;11519759;1;MA;8;N;;0;ei henkilövahinkoa;;;
